ID,PREC_PLANI,PREC_ALTI,ARTIF,FICTIF,FRANCHISST,NOM,POS_SOL,REGIME,Z_INI,Z_FIN,org_fid,distance,lat,long
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,0,6.39049,45.66275
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,300,6.39151,45.66535
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,600,6.39228,45.66796
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,900,6.39304,45.67063
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,1200,6.39392,45.67326
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,1800,6.39492,45.67860
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,2100,6.39537,45.68038
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,2400,6.39676,45.68289
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,2700,6.39812,45.68536
TRON_EAU0000000012547568,1.5,1,Oui,Oui,Barrage,l'arly,,Permanent,591.95,582.1,0,3000,6.40011,45.6879
